Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
Actividad cientifica. Instituto Antartico Uruguayo	Act. Cient. Inst. Antart. Urug.	Act Cient Inst Antart Urug
Activites. Direction de la Recherche scientifique et technique (Quebec Prov.)	Act. Dir. Rech. Sci. Tech. (Que. Prov.)	Act Dir Rech Sci Tech (Que Prov)
Actualidades biologicas	Actual. Biol.	Actual Biol
Acuarismo al dia	Acuarismo Dia	Acuarismo Dia
Adaptive Behavior	Adapt. Behav.	Adapt Behav
Addiction Biology	Addict. Biol.	Addict Biol
Addiction	Addiction	Addiction
Addictive Behaviors	Addict. Behav.	Addict Behav
Administrative Report. Southwest Fisheries Science Center	Admin. Rep. Southwest Fish. Sci. Cent.	Admin Rep Southwest Fish Sci Cent
Adolescence	Adolescence	Adolescence
ADRIAMED occasional paper	ADRIAMED Occas. Pap.	ADRIAMED Occas Pap
ADRIAMED technical documents	ADRIAMED Tech. Doc.	ADRIAMED Tech Doc
Advanced Drug Delivery Reviews	Adv. Drug Del. Rev.	Adv Drug Del Rev
Advances in Applied Microbiology	Adv. Appl. Microbiol.	Adv Appl Microbiol
Advances in Bioengineering	Adv. Bioeng.	Adv Bioeng
Advances in Botanical Research	Adv. Bot. Res.	Adv Bot Res
Advances in Cancer Research	Adv. Cancer Res.	Adv Cancer Res
Advances in Complex Systems	Adv. Complex Syst.	Adv Complex Syst
Advances in Computational Bioengineering	Adv. Comput. Bioeng.	Adv Comput Bioeng
Advances in Dental Research	Adv. Dental Res.	Adv Dental Res
Advances in Drug Research	Adv. Drug Res.	Adv Drug Res
Advances in Ecological Research	Adv. Ecol. Res.	Adv Ecol Res
Advances in Engineering Software	Adv. Eng. Software	Adv Eng Software
Advances in Environmental Research	Adv. Environ. Res.	Adv Environ Res
Advances in Ethology	Adv. Ethol.	Adv Ethol
Advances in Experimental Medicine and Biology	Adv. Exp. Med. Biol.	Adv Exp Med Biol
Advances in Food Research. Supplement	Adv. Food Res. Suppl.	Adv Food Res Suppl
Advances in Food Sciences	Adv. Food Sci.	Adv Food Sci
Advances in Genetics	Adv. Genet.	Adv Genet
Advances in Host Defense Mechanisms	Adv. Host Def. Mech.	Adv Host Def Mech
Advances in Immunology	Adv. Immunol.	Adv Immunol
Advances in Insect Physiology	Adv. Insect Physiol.	Adv Insect Physiol
Advances in limnology	Adv. Limnol.	Adv Limnol
Advances in Marine Biology	Adv. Mar. Biol.	Adv Mar Biol
Advances in marine science/Haiyang Kexue Jinzhan	Adv. Mar. Sci./Haiyang Kexue Jinzhan	Adv Mar Sci/Haiyang Kexue Jinzhan
Advances in Microbial Ecology	Adv. Microb. Ecol.	Adv Microb Ecol
Advances in Microbial Physiology	Adv. Microb. Physiol.	Adv Microb Physiol
Advances in Molecular and Cellular Microbiology	Adv. Mol. Cell. Microbiol.	Adv Mol Cell Microbiol
Advances in MRI Contrast	Adv. MRI Contrast	Adv MRI Contrast
Advances in Parasitology	Adv. Parasitol.	Adv Parasitol
Advances in Structural Engineering	Adv. Struct. Eng	Adv Struct Eng
Advances in Virus Research	Adv. Virus Res.	Adv Virus Res
Advances in X-Ray Contrast	Adv. X-Ray Contrast	Adv X-Ray Contrast
Adverse Drug Reaction Bulletin	Adverse Drug React. Bull.	Adverse Drug React Bull
Adverse Drug Reactions and Toxicological Reviews	Adverse Drug React. Toxicol. Rev.	Adverse Drug React Toxicol Rev
Advisory Committee Paper. Fisheries Department of Western Australia	Advis. Comm. Pap. Fish. Dep. West. Aust.	Advis Comm Pap Fish Dep West Aust
Advisory services. Sea Grant Program, Southern California University	Advis. Serv. Sea Grant Program South. Calif. Univ.	Advis Serv Sea Grant Program South Calif Univ
Aegir/Sea	Aegir/Sea	Aegir/Sea
Aerobiologia	Aerobiologia	Aerobiologia
Africa geoscience review	Afr. Geosci. Rev.	Afr Geosci Rev
Africa Research Bulletin: Political, Social and Cultural Series		
African Entomology	Afr. Entomol.	Afr Entomol
African Journal of AIDS Research	Afr. J. AIDS Res.	Afr J AIDS Res
African Journal of Aquatic Science	Afr. J. Aquat. Sci.	Afr J Aquat Sci
African journal of aquatic sciences	Afr. J. Aquat. Sci.	Afr J Aquat Sci
African Journal of Ecology	Afr. J. Ecol.	Afr J Ecol
African journal of environmental assessment and management/Revue africaine de gestion et d'evaluation environnementales	Afr. J. Environ. Assess. Manag./Rev. Afr. Gest. Eval. Environ.	Afr J Environ Assess Manag/Rev Afr Gest Eval Environ
African Journal of Marine Science	Afr. J. Mar. Sci.	Afr J Mar Sci
African journal of tropical hydrobiology and fisheries	Afr. J. Trop. Hydrobiol. Fish.	Afr J Trop Hydrobiol Fish
African Plant Protection	Afr. Plant Prot.	Afr Plant Prot
African Wildlife	Afr. Wildl.	Afr Wildl
African Zoology	Afr. Zool.	Afr Zool
Age and Ageing	Age Ageing	Age Ageing
Aggression and Violent Behavior	Aggr. Violent Behav.	Aggr Violent Behav
Aggressive Behavior	Aggressive Behav.	Aggressive Behav
Agraroekologie	Agraroekologie	Agraroekologie
Agribiological Research	Agribiol. Res.	Agribiol Res
Agricultura, la pesca y la alimentacion espanolas	Agric. Pesca Aliment. Esp.	Agric Pesca Aliment Esp
Agriculturae conspectus scientificus	Agric. Conspec. Sci.	Agric Conspec Sci
Agricultural and Biological Chemistry	Agric. Biol. Chem.	Agric Biol Chem
Agricultural and Food Science in Finland	Agric. Food Sci. Finland	Agric Food Sci Finland
Agricultural and Forest Entomology	Agric. For. Entomol.	Agric For Entomol
Agricultural Economics Report	Agric. Econ. Rep.	Agric Econ Rep
Agricultural Economics Research	Agric. Econ. Res.	Agric Econ Res
Agricultural Water Management	Agric. Water Manage.	Agric Water Manage
Agriculture Handbook	Agric. Hanbook	Agric Hanbook
Agriculture in Northern Ireland	Agric. North. Irel.	Agric North Irel
Agriculture Information Bulletin	Agric. Inform. Bull.	Agric Inform Bull
Agriculture, Ecosystems & Environment	Agric., Ecosyst. Environ.	Agric, Ecosyst Environ
Agro Ciencia	Agro Ciec.	Agro Ciec
Agro Sur	Agro Sur	Agro Sur
Agroalimentaria	Agroalimentaria	Agroalimentaria
Agrochimica	Agrochimica	Agrochimica
Agro-Environment Protection	Agro-Environ. Sci. Prot.	Agro-Environ Sci Prot
Agronomia Colombiana	Agron. Colombiana	Agron Colombiana
Agronomia lusitana	Agron. Lusit.	Agron Lusit
Agronomie africaine	Agron. Afr.	Agron Afr
Agronomie	Agronomie	Agronomie
Agronomy Journal	Agron. J.	Agron J
Agronomy Research	Agron. Res.	Agron Res
AI Communications	AI Commun.	AI Commun
AIAA Journal	AIAA J.	AIAA J
AICHE Journal	AICHE J.	AICHE J
AICHE Symposium Series	AICHE Symp. Ser.	AICHE Symp Ser
AIDS and Behavior	AIDS Behav.	AIDS Behav
AIDS Care	AIDS Care	AIDS Care
AIDS Education and Prevention	AIDS Educ. Prev.	AIDS Educ Prev
AIDS Patient Care and STDs	AIDS Patient Care STDs	AIDS Patient Care STDs
AIDS Research and Human Retroviruses	AIDS Res. Hum. Retroviruses	AIDS Res Hum Retroviruses
AIDS	AIDS	AIDS
Air Medical Journal	Air Med. J.	Air Med J
Aircraft Engineering and Aerospace Technology	Aircraft Eng. Aerospace Technol.	Aircraft Eng Aerospace Technol
AISE Steel Technology	A I S E Steel Technol.	A I S E Steel Technol
Alaska Fishery Research Bulletin	Alaska Fish. Res. Bull.	Alaska Fish Res Bull
Alaska Sea Grant report. Alaska Sea Grant Program, University of Alaska	Alaska Sea Grant Rep. Alaska Sea Grant Program Univ. Alaska	Alaska Sea Grant Rep Alaska Sea Grant Program Univ Alaska
Alauda	Alauda	Alauda
Albertoa	Albertoa	Albertoa
Alcohol and Alcoholism	Alcohol Alcohol.	Alcohol Alcohol
Alcohol	Alcohol	Alcohol
ALCOM report	ALCOM Rep.	ALCOM Rep
Alexanor	Alexanor	Alexanor
Algae	Algae	Algae
Al'gologiya	Al'gologiya	Al'gologiya
Alieftika nea/Fishing news	Alieft. Nea/Fish. News	Alieft Nea/Fish News
Allergy	Allergy	Allergy
Al-Sambouk newsletter	Al-Sambouk Newsl.	Al-Sambouk Newsl
Alternatives	Alternatives	Alternatives
Alytes	Alytes	Alytes
Alzheimer's Disease Review	Alzheimer's Dis. Rev.	Alzheimer's Dis Rev
Amazoniana	Amazoniana	Amazoniana
Ambio	Ambio	Ambio
Ambios. Cultura ambiental	Ambios Cult. Ambient.	Ambios Cult Ambient
American Entomologist	Am. Entomol.	Am Entomol
American Family Physician	Am. Fam. Physician	Am Fam Physician
American Fern Journal	Am. Fern J.	Am Fern J
American Fisheries Society Monograph	Am. Fish. Soc. Monograph	Am Fish Soc Monograph
American Fisheries Society Special Publication	Am. Fish. Soc. Special Pub.	Am Fish Soc Special Pub
American Fisheries Society Symposium	Am. Fish. Soc. Symp.	Am Fish Soc Symp
American Industrial Hygiene Association Journal	Am. Ind. Hyg. Assoc. J.	Am Ind Hyg Assoc J
American Journal of Agricultural Economics	Am. J. Agric. Econ.	Am J Agric Econ
American Journal of Alternative Agriculture	Am. J. Alternative Agric.	Am J Alternative Agric
American Journal of Alzheimer's Disease and Other Dementias	Am. J. Alzheimer's Dis. Other Dementias	Am J Alzheimer's Dis Other Dementias
American Journal of Botany	Am. J. Bot.	Am J Bot
American Journal of Chinese Medicine	Am. J. Chin. Med.	Am J Chin Med
American Journal of Clinical Nutrition	Am. J. Clin. Nutr.	Am J Clin Nutr
American Journal of Community Psychology	Am. J. Community Psychol.	Am J Community Psychol
American Journal of Drug and Alcohol Abuse	Am. J. Drug Alcohol Abuse	Am J Drug Alcohol Abuse
American Journal of Epidemiology	Am. J. Epidemiol.	Am J Epidemiol
American Journal of Forensic Medicine and Pathology	Am. J. Forensic Med. Pathol.	Am J Forensic Med Pathol
American Journal of Health Education	Am. J. Health Ed.	Am J Health Ed
American Journal of Health Promotion	Am. J. Health Promot.	Am J Health Promot
American Journal of Health Studies	Am. J. Health Stud.	Am J Health Stud
American Journal of Human Biology	Am. J. Hum. Biol.	Am J Hum Biol
American Journal of Human Genetics	Am. J. Hum. Genet.	Am J Hum Genet
American Journal of Industrial Medicine	Am. J. Ind. Med.	Am J Ind Med
American Journal of Medical Genetics B	Am. J. Med. Genet. B.	Am J Med Genet B
American Journal of Medical Genetics Part A	Am. J. Med. Genet. A	Am J Med Genet A
American Journal of Medicine	Am. J. Med.	Am J Med
American Journal of Neuroradiology	Am. J. Neuroradiol.	Am J Neuroradiol
American Journal of Nursing	Am. J. Nurs.	Am J Nurs
American Journal of Ophthalmology	Am. J. Ophthalmol.	Am J Ophthalmol
American Journal of Orthopsychiatry	Am. J. Orthopsychiatry	Am J Orthopsychiatry
American Journal of Physical Anthropology	Am. J. Phys. Anthropol.	Am J Phys Anthropol
American Journal of Physical Medicine and Rehabilitation	Am. J. Phys. Med. Rehabil.	Am J Phys Med Rehabil
American Journal of Physiological Imaging	Am. J. Physiol. Imaging	Am J Physiol Imaging
American Journal of Physiology: Cell Physiology	Am. J. Physiol. Cell Physiol.	Am J Physiol Cell Physiol
American Journal of Physiology: Endocrinology and Metabolism	Am. J. Physiol. Endocrinol. Metabol.	Am J Physiol Endocrinol Metabol
American Journal of Physiology: Heart and Circulatory Physiology	Am. J. Physiol. Heart Circ. Physiol.	Am J Physiol Heart Circ Physiol
American Journal of Physiology: Regulatory, Integrative and Comparative Physiology	Am. J. Physiol. Regul. Integr. Comp. Physiol.	Am J Physiol Regul Integr Comp Physiol
American Journal of Political Science	Am. J. Polit. Sci.	Am J Polit Sci
American Journal of Preventive Medicine	Am. J. Prev. Med.	Am J Prev Med
American Journal of Primatology	Am. J. Primatol.	Am J Primatol
American Journal of Psychiatry	Am. J. Psychiatry	Am J Psychiatry
American Journal of Public Health	Am. J. Public Health	Am J Public Health
American Journal of Reproductive Immunology	Am. J. Reprod. Immunol.	Am J Reprod Immunol
American Journal of Respiratory and Critical Care Medicine	Am. J. Respir. Crit. Care Med.	Am J Respir Crit Care Med
American Journal of Roentgenology	Am. J. Roentgenol.	Am J Roentgenol
American Journal of Science	Am. J. Sci.	Am J Sci
American Journal of Sports Medicine	Am. J. Sports Med.	Am J Sports Med
American Journal of Transplantation	Am. J. Transplantation	Am J Transplantation
American Journal of Tropical Medicine and Hygiene	Am. J. Trop. Med. Hyg.	Am J Trop Med Hyg
American Journal of Veterinary Research	Am. J. Vet. Res.	Am J Vet Res
American Malacological Bulletin	Am. Malacol. Bull.	Am Malacol Bull
American Midland Naturalist	Am. Midl. Nat.	Am Midl Nat
American Museum Novitates. New York NY	Am. Mus. Novit.	Am Mus Novit
American Naturalist	Am. Nat.	Am Nat
American Scientist	Am. Sci.	Am Sci
American Zoologist	Am. Zool.	Am Zool
Amino Acids	Amino Acids	Amino Acids
Amphibia-Reptilia	Amphibia-Reptilia	Amphibia-Reptilia
Amphipacifica	Amphipacifica	Amphipacifica
Amyotrophic Lateral Sclerosis	Amyotrophic Lat. Scler.	Amyotrophic Lat Scler
Anaerobe	Anaerobe	Anaerobe
Anaesthesia	Anaesthesia	Anaesthesia
Anais da Faculdade de Medicina Veterinaria, Lisbon	An. Fac. Med. Vet. Lisb.	An Fac Med Vet Lisb
Anais de Sociedade Entomologica do Brasil	An. Soc. Entomol. Bras.	An Soc Entomol Bras
Anais do Clube Militar Naval, Lisbon	An. Clube Mil. Nav. Lisb.	An Clube Mil Nav Lisb
Anais do Instituto de Higiene e Medicina Tropical, Lisbon	An. Inst. Hig. Med. Trop. Lisb.	An Inst Hig Med Trop Lisb
Anais do Instituto Hidrografico (Lisboa)	An. Inst. Hidrogr. Lisb.	An Inst Hidrogr Lisb
Anales del Instituto de Biologia, Universidad Nacional Autonoma de Mexico. Serie botanica	An. Inst. Biol. Univ. Nac. Auton. Mex. (Bot.)	An Inst Biol Univ Nac Auton Mex (Bot)
Anales del Instituto de Biologia, Universidad Nacional Autonoma de Mexico. Serie zoologia	An. Inst. Biol. Univ. Nac. Auton. Mex. (Zool.)	An Inst Biol Univ Nac Auton Mex (Zool)
Anales del Instituto de Ciencias del Mar y Limnologia, Universidad Nacional Autonoma de Mexico	An. Inst. Cienc. Mar Limnol. Univ. Nac. Auton. Mex.	An Inst Cienc Mar Limnol Univ Nac Auton Mex
Anales del Instituto de la Patagonia	An. Inst. Patagonia	An Inst Patagonia
Anales del Museo de Historia Natural de Valparaiso	An. Mus. Hist. Nat. Valparaiso	An Mus Hist Nat Valparaiso
Analyses of Social Issues and Public Policy		
Analysis		
Analyst (Cambridge UK)	Analyst (Cambridge UK)	Analyst (Cambridge UK)
Analytica Chimica Acta	Anal. Chim. Acta	Anal Chim Acta
Analytical and Bioanalytical Chemistry	Anal. Bioanal. Chem.	Anal Bioanal Chem
Analytical Biochemistry	Anal. Biochem.	Anal Biochem
Analytical Chemistry (Washington)	Anal. Chem. (Wash.)	Anal Chem (Wash)
Analytical Letters	Anal. Lett.	Anal Lett
Anartia	Anartia	Anartia
Anatomical Record. Part A: Discoveries in Molecular, Cellular, and Evolutionary Biology	Anat. Rec. A. Discov. Mol. Cell. Evol. Biol.	Anat Rec A Discov Mol Cell Evol Biol
Andamento dell'industria conserviera ittica italiana	Andamento Ind. Conserv. Ittica Ital.	Andamento Ind Conserv Ittica Ital
Anesthesia & Analgesia	Anesth. Analg.	Anesth Analg
Anesthesiology	Anesthesiology	Anesthesiology
Angewandte Botanik	Angew. Bot.	Angew Bot
Angewandte Chemie (English Edition)	Angew. Chem.	Angew Chem
Angewandte Chemie (International Edition)	Angew. Chem.	Angew Chem
Angiogenesis	Angiogenesis	Angiogenesis
Animal Behaviour	Anim. Behav.	Anim Behav
Animal Biodiversity and Conservation	Anim. Biodivers. Conserv.	Anim Biodivers Conserv
Animal Biology	Anim. Biol.	Anim Biol
Animal Biotechnology	Anim. Biotechnol.	Anim Biotechnol
Animal Conservation	Anim. Conserv.	Anim Conserv
Animal Feed Science and Technology	Anim. Feed Sci. Technol.	Anim Feed Sci Technol
Animal Genetics	Anim. Genet.	Anim Genet
Animal Learning & Behavior	Anim. Learn. Behav.	Anim Learn Behav
Animal Production	Anim. Prod.	Anim Prod
Animal Reproduction Science	Anim. Reprod. Sci.	Anim Reprod Sci
Animal research and development	Anim. Res. Dev.	Anim Res Dev
Animal Research	Anim. Res.	Anim Res
Animal Science and Technology	Anim. Sci. Technol.	Anim Sci Technol
Animal Science Papers and Reports	Anim. Sci. Pap. Rep.	Anim Sci Pap Rep
Animal Welfare	Anim. Welfare	Anim Welfare
Animalia	Animalia	Animalia
Annalen der Meteorologie. Neue Folge	Ann. Meteorol. (Neue Folge)	Ann Meteorol (Neue Folge)
Annalen des Naturhistorischen Museums in Wien. Serie A. Mineralogie und Petrographie, Geologie und Palaeontologie, Anthropologie und Praehistorie	Ann. Naturhist. Mus. Wien (A Mineral. Petrogr. Geol. Palaeontol. Anthropol. Praehist.)	Ann Naturhist Mus Wien (A Mineral Petrogr Geol Palaeontol Anthropol Praehist)
Annalen des Naturhistorischen Museums in Wien. Serie B. Botanik und Zoologie	Ann. Naturhist. Mus. Wien (B Bot. Zool.)	Ann Naturhist Mus Wien (B Bot Zool)
Annalen des Naturhistorischen Museums in Wien. Serie C. Jahresberichte	Ann. Naturhist. Mus. Wien (C Jahresber.)	Ann Naturhist Mus Wien (C Jahresber)
Annales Botanici Fennici	Ann. Bot. Fenn.	Ann Bot Fenn
Annales de l' Universite d'Abidjan. Serie E. Ecologie	Ann. Univ. Abidjan (E Ecol.)	Ann Univ Abidjan (E Ecol)
Annales de l' Universite d'Abidjan. Serie G. Geographie	Ann. Univ. Abidjan (G Geogr.)	Ann Univ Abidjan (G Geogr)
Annales de la Societe des Sciences naturelles de la Charente-Maritime	Ann. Soc. Sci. Nat. Charente-Marit.	Ann Soc Sci Nat Charente-Marit
Annales de Limnologie	Ann. Limnol.	Ann Limnol
Annales de l'INRAT	Ann. INRAT	Ann INRAT
Annales de l'Institut oceanographique, Paris. Nouvelle serie	Ann. Inst. Oceanogr. Paris (Nouv. Ser.)	Ann Inst Oceanogr Paris (Nouv Ser)
Annales de l'Universite d'Abidjan. Serie C. Sciences naturelles et biologie	Ann. Univ. Abidjan (C Sci. Nat. Biol.)	Ann Univ Abidjan (C Sci Nat Biol)
Annales de Medecine Veterinaire	Ann. Med. Vet.	Ann Med Vet
Annales de Paleontologie	Ann. Paleontol.	Ann Paleontol
Annales de Pathologie	Ann. Pathol.	Ann Pathol
Annales de Zootechnie	Ann. Zootech.	Ann Zootech
Annales geologiques des pays helleniques/Geologica chronika ton ellinikon choron	Ann. Geol. Pays Hell./Geol. Chron. Ell. Choron	Ann Geol Pays Hell/Geol Chron Ell Choron
Annales Geophysicae	Ann. Geophys.	Ann Geophys
Annales hydrographiques. 6eme serie	Ann. Hydrogr. (6eme Ser.)	Ann Hydrogr (6eme Ser)
Annales musei goulandris	Ann. Mus. Goulandris	Ann Mus Goulandris
